"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","04-Jan-2023","       3311.35","       3306.70","       3327.35","       3286.20","       3313.10","       3314.65","       3306.45","    1231668","          4072443029.75","      76844","     778260","         63.19"
"TCS","EQ","05-Jan-2023","       3314.65","       3330.20","       3337.30","       3281.95","       3302.65","       3311.10","       3311.44","    1826057","          6046882556.65","     128658","    1202559","         65.86"
"TCS","EQ","06-Jan-2023","       3311.10","       3300.00","       3301.55","       3200.00","       3213.90","       3211.55","       3239.59","    2488376","          8061309460.35","     177937","    1584546","         63.68"
"TCS","EQ","09-Jan-2023","       3211.55","       3229.00","       3327.00","       3221.15","       3309.00","       3319.95","       3300.31","    2885060","          9521605532.85","     173806","    1472534","         51.04"
"TCS","EQ","10-Jan-2023","       3319.95","       3285.00","       3298.00","       3230.10","       3283.00","       3286.40","       3259.17","    3864655","         12595576966.85","     236636","    1741399","         45.06"
"TCS","EQ","11-Jan-2023","       3286.40","       3290.10","       3349.50","       3271.15","       3328.00","       3328.70","       3324.66","    2720512","          9044771106.40","     144583","    1305512","         47.99"
"TCS","EQ","12-Jan-2023","       3328.70","       3329.00","       3350.00","       3315.55","       3337.55","       3334.35","       3334.26","    2250391","          7503381269.75","     179303","    1525003","         67.77"
"TCS","EQ","13-Jan-2023","       3334.35","       3342.90","       3379.00","       3305.00","       3373.25","       3374.55","       3352.96","    1742837","          5843664088.10","     107218","     870219","         49.93"
"TCS","EQ","16-Jan-2023","       3374.55","       3317.00","       3353.00","       3298.05","       3335.00","       3334.05","       3329.16","    1843607","          6137668725.00","     134180","     901765","         48.91"
"TCS","EQ","17-Jan-2023","       3334.05","       3330.00","       3381.80","       3321.00","       3380.90","       3378.40","       3363.96","    1688475","          5679961504.85","     110473","    1114320","         66.00"
"TCS","EQ","18-Jan-2023","       3378.40","       3380.00","       3408.95","       3372.25","       3391.00","       3390.00","       3395.06","    2421189","          8220093824.80","     121397","    1836244","         75.84"
"TCS","EQ","19-Jan-2023","       3390.00","       3380.00","       3387.00","       3361.00","       3370.00","       3373.10","       3375.44","    1585044","          5350223100.95","      97108","    1136996","         71.73"
